step,command,major_index,device_ids,MovesMajorX,MovesMajorY,MovesMinorX,MovesMinorY
1,G,1,02E,40832,7694,0,0
2,J,2,02F,51040,7694,0,0
3,J,3,02G,61248,7694,0,0
4,J,4,02H,71456,7694,0,0
5,J,5,02I,81664,7694,0,0
6,J,6,02J,91872,7694,0,0
7,J,7,02K,102080,7694,0,0
8,J,8,02L,112288,7694,0,0
9,J,9,03M,122496,15388,0,0
10,J,10,03L,112288,15388,0,0
11,J,11,03K,102080,15388,0,0
12,J,12,03J,91872,15388,0,0
13,J,13,03I,81664,15388,0,0
14,J,14,03H,71456,15388,0,0
15,J,15,03G,61248,15388,0,0
16,J,16,03F,51040,15388,0,0
17,J,17,03E,40832,15388,0,0
18,J,18,03D,30624,15388,0,0
19,J,19,04C,20416,23082,0,0
20,J,20,04D,30624,23082,0,0
21,J,21,04E,40832,23082,0,0
22,J,22,04F,51040,23082,0,0
23,J,23,04G,61248,23082,0,0
24,J,24,04H,71456,23082,0,0
25,J,25,04I,81664,23082,0,0
26,J,26,04J,91872,23082,0,0
27,J,27,04K,102080,23082,0,0
28,J,28,04L,112288,23082,0,0
29,J,29,04M,122496,23082,0,0
30,J,30,04N,132704,23082,0,0
31,J,31,05N,132704,30776,0,0
32,J,32,05M,122496,30776,0,0
33,J,33,05L,112288,30776,0,0
34,J,34,05K,102080,30776,0,0
35,J,35,05J,91872,30776,0,0
36,J,36,05I,81664,30776,0,0
37,J,37,05H,71456,30776,0,0
38,J,38,05G,61248,30776,0,0
39,J,39,05F,51040,30776,0,0
40,J,40,05E,40832,30776,0,0
41,J,41,05D,30624,30776,0,0
42,J,42,05C,20416,30776,0,0
43,J,43,06B,10208,38470,0,0
44,J,44,06C,20416,38470,0,0
45,J,45,06D,30624,38470,0,0
46,J,46,06E,40832,38470,0,0
47,J,47,06F,51040,38470,0,0
48,J,48,06G,61248,38470,0,0
49,J,49,06H,71456,38470,0,0
50,J,50,06I,81664,38470,0,0
51,J,51,06J,91872,38470,0,0
52,J,52,06K,102080,38470,0,0
53,J,53,06L,112288,38470,0,0
54,J,54,06M,122496,38470,0,0
55,J,55,06N,132704,38470,0,0
56,J,56,06O,142912,38470,0,0
57,J,57,07O,142912,46164,0,0
58,J,58,07N,132704,46164,0,0
59,J,59,07M,122496,46164,0,0
60,J,60,07L,112288,46164,0,0
61,J,61,07K,102080,46164,0,0
62,J,62,07J,91872,46164,0,0
63,J,63,07I,81664,46164,0,0
64,J,64,07H,71456,46164,0,0
65,J,65,07G,61248,46164,0,0
66,J,66,07F,51040,46164,0,0
67,J,67,07E,40832,46164,0,0
68,J,68,07D,30624,46164,0,0
69,J,69,07C,20416,46164,0,0
70,J,70,07B,10208,46164,0,0
71,J,71,08B,10208,53858,0,0
72,J,72,08C,20416,53858,0,0
73,J,73,08D,30624,53858,0,0
74,J,74,08E,40832,53858,0,0
75,J,75,08F,51040,53858,0,0
76,J,76,08G,61248,53858,0,0
